,X,RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified,contacted,won,loanvalue,NPS,contacted_and_won,qualified_and_contacted,lead_and_qualified
1,1,10023467,41-60,58,management,married,tertiary,2143,yes,yes,january,1/1/2018,261,71.96,1,auto ,1,1,1,2453,10,1,1,1
2,2,10023468,41-60,44,technician,single,secondary,29,yes,no,february,2/1/2018,151,2.2,1,auto ,1,1,1,2586,10,1,1,1
3,3,10023469,31-40,33,entrepreneur,married,secondary,2,yes,no,march,3/1/2018,76,15.84,1,auto ,1,1,0,6530,7,0,1,1
4,4,10023470,41-60,47,blue-collar,married,unknown,1506,yes,yes,april,4/1/2018,92,11.2,1,auto ,1,1,0,2476,7,0,1,1
5,5,10023471,31-40,33,unknown,single,unknown,1,no,no,may,5/1/2018,198,4.39,1,auto ,1,1,0,4384,7,0,1,1
6,6,10023472,31-40,35,management,married,tertiary,231,yes,yes,june,6/1/2018,139,92.76,1,auto ,1,1,0,4080,7,0,1,1
7,7,10023473,18-30,28,management,single,tertiary,447,yes,no,july,7/1/2018,217,8.63,1,auto ,1,1,0,2127,7,0,1,1
8,8,10023474,41-60,42,entrepreneur,divorced,tertiary,2,yes,yes,august,8/1/2018,380,4.49,1,auto ,1,1,0,5699,7,0,1,1
9,9,10023475,41-60,58,retired,married,primary,121,yes,yes,september,9/1/2018,50,77.33,1,auto ,1,1,0,3237,7,0,1,1
10,10,10023476,41-60,43,technician,single,secondary,593,yes,no,october,10/1/2018,55,115.51,1,auto ,1,1,0,2558,7,0,1,1
11,11,10023477,41-60,41,admin.,divorced,secondary,270,yes,no,november,11/1/2018,222,93.67,1,auto ,1,1,0,2298,7,0,1,1
12,12,10023478,18-30,29,admin.,single,secondary,390,yes,no,december,12/1/2018,137,13.96,1,auto ,1,1,0,3397,7,0,1,1
13,13,10023479,41-60,53,technician,married,secondary,6,yes,yes,january,1/1/2018,517,5.96,1,auto ,1,1,0,2106,7,0,1,1
14,14,10023480,41-60,58,technician,married,unknown,71,yes,yes,february,2/1/2018,71,30.96,0,no product,0,0,0,2877,7,0,0,1
15,15,10023481,41-60,57,services,married,secondary,162,yes,yes,march,3/1/2018,174,55.6,0,no product,0,0,0,2226,7,0,0,1
16,16,10023482,41-60,51,retired,married,primary,229,yes,yes,april,4/1/2018,353,15.75,0,no product,0,0,0,2880,7,0,0,1
